"","school=MS","sex=M","age","address=R","famsize=GT3","Pstatus=A","Medu","Fedu","Mjob=health","Mjob=other","Mjob=services","Mjob=teacher","Fjob=health","Fjob=other","Fjob=services","Fjob=teacher","reason=home","reason=other","reason=reputation","guardian=father","guardian=mother","traveltime","studytime","failures","schoolsup=yes","famsup=yes","paid=yes","activities=yes","nursery=yes","higher=yes","internet=yes","romantic=yes","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"5",0,0,16,0,1,0,3,3,0,1,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,9.18307084600144
"8",0,0,17,0,1,1,4,4,0,1,0,0,0,0,0,1,1,0,0,0,1,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,4.08853401764478
"11",0,0,15,0,1,0,4,4,0,0,0,1,1,0,0,0,0,0,1,0,1,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,7.63540153467613
"16",0,0,16,0,1,0,4,4,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14.4057300340817
"20",0,1,16,0,0,0,4,3,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,8.65663347351048
"21",0,1,15,0,1,0,4,3,0,0,0,1,0,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,14.366895425301
"24",0,1,16,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,1,0,1,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12.9920460700959
"31",0,1,15,0,1,0,4,4,1,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,11.1788743242492
"32",0,1,15,0,1,0,4,4,0,0,1,0,0,0,1,0,0,0,1,0,1,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,16.5147725072208
"47",0,0,16,0,0,1,3,3,0,1,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11,12,11.5830250719608
"50",0,0,15,0,1,0,4,4,0,0,1,0,0,0,0,1,0,1,0,1,0,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7,7,6.19928761203805
"53",0,1,15,0,0,1,4,2,1,0,0,0,1,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11,11,11.8224327952348
"58",0,1,15,0,1,0,4,4,0,0,0,1,1,0,0,0,0,0,1,0,1,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14,15,14.8536743650461
"62",0,0,16,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10,8,7.93976609302844
"63",0,0,16,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,1,1,0,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,8,10,9.05261254870003
"66",0,0,16,0,0,0,4,3,0,0,0,1,0,0,1,0,0,0,0,0,1,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,15.5403999754488
"73",0,0,15,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,8,6,5.46058757417714
"74",0,1,16,0,1,0,3,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12,12,11.9563997992075
"89",0,1,16,0,1,0,2,2,0,0,1,0,0,1,0,0,0,0,1,1,0,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,11,10,9.96618954581733
"92",0,0,15,0,1,0,4,3,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,16,17,17.5279888194569
"95",0,1,15,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,1,0,1,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,11,13,12.9083423723272
"100",0,0,16,0,1,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,7,9,8.56583360895486
"104",0,0,15,0,1,0,3,2,0,0,1,0,0,1,0,0,1,0,0,0,1,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,7,6,6.93232656662397
"105",0,1,15,0,1,1,3,4,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,16,18,18.6895956394032
"108",0,1,16,0,1,0,3,3,0,0,1,0,0,1,0,0,1,0,0,1,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,16,18,18.4584117220522
"115",0,1,15,1,1,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,9,9,9.18416632261551
"116",0,1,16,0,1,0,4,4,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,15,15,15.3739028680393
"131",0,0,15,1,1,0,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,12,0,0.58301016707543
"134",0,0,16,0,1,1,3,4,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,12,11,11.3798735098032
"137",0,1,17,1,1,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,10,0,-0.0234156447002345
"142",0,1,16,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,1,1,0,2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8,9,9,7.66152376097369
"146",0,0,15,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,8,11,10.6163981416502
"147",0,0,15,0,1,0,3,2,1,0,0,0,0,0,1,0,1,0,0,1,0,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,6,7,5.99674252283714
"150",0,1,15,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,8,9,8.67105697724791
"157",0,1,17,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,16,12,11.8737624354905
"158",0,0,18,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,9,8,7.10385831347268
"173",0,1,17,0,0,0,4,4,0,0,0,1,0,1,0,0,0,0,1,0,1,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0,13,11,10.3160204944309
"176",0,1,17,0,0,0,4,3,0,0,0,1,0,1,0,0,0,0,0,0,1,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,10,9,8.07823084524466
"179",0,1,16,1,1,0,4,2,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,10,10,8,7.75082985528334
"184",0,0,17,0,0,0,3,3,0,1,0,0,0,1,0,0,0,0,1,0,1,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56,9,9,10.9992696998027
"188",0,1,16,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,5,0,15,15,14.8744023741275
"189",0,0,17,0,1,1,3,3,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6,8,7,5.97089032167645
"192",0,0,17,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,8,8,6.96150228596969
"199",0,0,17,0,1,0,4,4,0,0,1,0,0,0,0,1,1,0,0,0,1,2,1,1,0,1,0,0,1,1,1,0,4,2,4,2,3,2,24,18,18,19.6629096436733
"200",0,0,16,0,0,0,4,4,0,0,0,1,0,0,0,1,0,0,1,0,1,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0,9,9,8.50284874858422
"215",0,0,17,1,0,0,4,4,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,5,2,1,1,2,3,12,8,10,9.99142447482568
"218",0,1,18,0,0,0,3,3,0,0,1,0,1,0,0,0,1,0,0,1,0,1,2,1,0,1,1,0,1,1,1,0,3,2,4,2,4,4,13,6,6,4.69284515411102
"221",0,0,17,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,2,6,6,4.39070925028115
